Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T3</b>,A102,R+1,63.05 m2,"10,7 m2",,Sud-Ouest,PB20/PEA16,345 000 €,5471 €/m2,Disponible,<button>Plan</button>
<b>T5</b>,C301,R+3,118.85 m2,"78,2 m2",,Sud-Ouest,PB05/PSSC16,629 000 €,5292 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,C206,R+2,80.05 m2,"19,2 m2",,Sud-Est,PB06/PEBC3PMR,445 000 €,5559 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,C005,RdC,62.1 m2,38 m2,146 m2,Sud,PB02/PEBC7,345 000 €,5555 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B107,R+1,60.25 m2,"11,7 m2",,Sud,PB07/PEBC6,335 000 €,5560 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A210,R+2,62.95 m2,"15,7 m2",,Sud,PB26/PEA13/PB24A,355 000 €,5639 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A202,R+2,63.05 m2,"10,7 m2",,Sud,PB22/PEA11,343 000 €,5440 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A110,R+1,62.95 m2,"15,7 m2",,Sud,PB28/PEA9,335 000 €,5321 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A109,R+1,63.05 m2,"10,65 m2",,Sud,PB29/PEA8,337 000 €,5344 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A106,R+1,65.9 m2,"22,15 m2",,Sud,PB19/PEA17,359 000 €,5447 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A003,RdC,61.9 m2,"33,55 m2","216,65 m2",Sud,PEA7 + PEA 6,328 000 €,5298 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B103,R+1,61.05 m2,"12,5 m2",,Sud-Ouest,PB06/PEBC12,329 000 €,5389 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A101,R+1,62.95 m2,"15,6 m2",,Sud-Ouest,PB30/PEA15,335 000 €,5321 €/m2,Disponible,<button>Plan</button>
