Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,211,R+1,"51,98 m2","24,44 m2",,NordOuest,Oui,<b>315 000 €</b>,6060 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,216,R+1,"37,59 m2","7,38 m2",,Ouest,Oui,<b>212 000 €</b>,5639 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,101,RdC,"39,13 m2","7,55 m2",,Ouest,Oui,<b>212 000 €</b>,5417 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,215,R+1,"40,27 m2","7,45 m2",,Ouest,Oui,<b>216 000 €</b>,5363 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,205,RdC,"40,27 m2","8,02 m2",,Ouest,Oui,<b>219 000 €</b>,5438 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,311,R+1,"37,87 m2","7,85 m2",,NordOuest,Oui,<b>219 000 €</b>,5782 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,201,RdC,"42,4 m2","8,85 m2",,Ouest,Oui,<b>220 000 €</b>,5188 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,305,RdC,"41,63 m2","8,01 m2",,SudEst,Oui,<b>220 000 €</b>,5284 m2/€,Optionné,<button>Plan</button>
<b>T2</b>,117,R+1,"39,34 m2","8,39 m2",,Ouest,Oui,<b>227 000 €</b>,5770 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,112,R+1,"40,25 m2","7,41 m2",,Ouest,Oui,<b>228 000 €</b>,5664 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,316,R+1,"41,62 m2","7,26 m2",,SudEst,Oui,<b>231 000 €</b>,5550 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,104,RdC,"40,68 m2","7,97 m2",,Est,Oui,<b>232 000 €</b>,5703 m2/€,Optionné,<button>Plan</button>
<b>T2</b>,214,R+1,"43,02 m2","7,31 m2",,Est,Oui,<b>237 000 €</b>,5509 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,114,R+1,"41,31 m2","7,5 m2",,Est,Oui,<b>240 000 €</b>,5809 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,204,RdC,"43,02 m2","7,93 m2",,Est,Oui,<b>240 000 €</b>,5578 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,113,R+1,"42,9 m2","7,42 m2",,Est,Oui,<b>241 000 €</b>,5617 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,124,R+2,"39,34 m2","7,65 m2",,Ouest,Oui,<b>245 000 €</b>,6227 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,312,R+1,"58,06 m2","10,2 m2",,NordOuest,Oui,<b>288 000 €</b>,4960 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,111,R+1,"57,07 m2","11,15 m2",,Est,Oui,<b>293 000 €</b>,5134 m2/€,Optionné,<button>Plan</button>
<b>T3</b>,303,RdC,"60,75 m2","12,05 m2",,SudEst,Oui,<b>307 000 €</b>,5053 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,202,RdC,"63,78 m2","12,4 m2",,Est,Oui,<b>315 000 €</b>,4938 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,314,R+1,"60,9 m2","10,75 m2",,SudEst,Oui,<b>321 000 €</b>,5270 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,302,RdC,"62,05 m2","26,74 m2",,SudEst,Oui,<b>321 000 €</b>,5173 m2/€,Optionné,<button>Plan</button>
<b>T3</b>,212,R+1,"61,04 m2","10,79 m2",,Est,Oui,<b>325 000 €</b>,5324 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,313,R+1,"62,05 m2","12,53 m2",,SudEst,Oui,<b>335 000 €</b>,5398 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,115,R+1,"60,3 m2","11,77 m2",,Est,Oui,<b>341 000 €</b>,5655 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,116,R+1,"64,97 m2","14,56 m2",,Est,Oui,<b>356 000 €</b>,5479 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,123,R+2,"65,18 m2","14,03 m2",,Est,Oui,<b>362 000 €</b>,5553 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,122,R+2,"64,69 m2","83,71 m2",,Est,Oui,<b>409 000 €</b>,6322 m2/€,Optionné,<button>Plan</button>
