Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T1</b>,,R+2,"30,13 m2",,,,,<b>160 000 €</b>,5310 €/m2,Réservé,<button>Plan</button>
<b>T2</b>,B405,R+4,"38,29 m2",,,,,<b>219 000 €</b>,5719 €/m2,Réservé,<button>Plan</button>
<b>T2</b>,C802,R+8,"40,4 m2",,,,,<b>267 000 €</b>,6608 €/m2,Réservé,<button>Plan</button>
<b>T2</b>,C404,R+4,"42,46 m2",,,,,<b>234 000 €</b>,5511 €/m2,Réservé,<button>Plan</button>
<b>T2</b>,C304,R+3,"42,52 m2",,,,,<b>222 000 €</b>,5221 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,C801,R+8,"60,48 m2",,,,,<b>335 000 €</b>,5539 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,B804,R+8,"61,51 m2",,,,,<b>349 000 €</b>,5673 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A501,R+5,"61,55 m2",,,,,<b>369 000 €</b>,5995 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B604,R+6,"62,43 m2",,,,,<b>334 000 €</b>,5349 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B704,R+7,"62,56 m2",,,,,<b>359 000 €</b>,5738 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A802,R+8,"62,6 m2",,,,,<b>389 000 €</b>,6214 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,A603,R+6,"62,82 m2",,,,,<b>379 000 €</b>,6033 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A702,R+7,"63,03 m2",,,,,<b>389 000 €</b>,6171 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B504,R+5,"63,27 m2",,,,,<b>329 000 €</b>,5199 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,A403,R+4,"63,35 m2",,,,,<b>359 000 €</b>,5666 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,C803,R+8,"63,36 m2",,,,,<b>349 000 €</b>,5508 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,C703,R+7,"63,39 m2",,,,,<b>339 000 €</b>,5347 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A301,R+3,"63,83 m2",,,,,<b>359 000 €</b>,5624 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B701,R+7,"64,93 m2",,,,,<b>389 000 €</b>,5991 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B901,R+9,"67,87 m2",,,,,<b>449 000 €</b>,6615 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,B803,R+8,"69,59 m2",,,,,<b>399 000 €</b>,5733 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,C305,R+3,"70,51 m2",,,,,<b>349 000 €</b>,4949 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,C505,R+5,"70,79 m2",,,,,<b>379 000 €</b>,5353 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,C405,R+4,"70,84 m2",,,,,<b>369 000 €</b>,5208 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,C205,R+2,"70,95 m2",,,,,<b>349 000 €</b>,4918 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A701,R+7,"75,84 m2",,,,,<b>459 000 €</b>,6052 €/m2,Optionné,<button>Plan</button>
<b>T3</b>,A801,R+8,"76,16 m2",,,,,<b>469 000 €</b>,6158 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,B204,R+2,"83,88 m2",,,,,<b>399 000 €</b>,4756 €/m2,Réservé,<button>Plan</button>
<b>T3</b>,B603,R+6,"89,77 m2",,,,,<b>489 000 €</b>,5447 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,C601,R+6,"79,11 m2",,,,,<b>419 000 €</b>,5296 €/m2,Optionné,<button>Plan</button>
<b>T4</b>,B902,R+9,"80,75 m2",,,,,<b>539 000 €</b>,6674 €/m2,Réservé,<button>Plan</button>
<b>T4</b>,C301,R+3,"80,97 m2",,,,,<b>409 000 €</b>,5051 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,C201,R+2,"81,2 m2",,,,,<b>399 000 €</b>,4913 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,B301,R+3,"82,26 m2",,,,,<b>469 000 €</b>,5701 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,B501,R+5,"82,27 m2",,,,,<b>469 000 €</b>,5700 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,C501,R+5,"82,3 m2",,,,,<b>429 000 €</b>,5212 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,C401,R+4,"82,51 m2",,,,,<b>419 000 €</b>,5078 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,B601,R+6,"83,35 m2",,,,,<b>499 000 €</b>,5986 €/m2,Disponible,<button>Plan</button>
