Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,1001,RdC,39 m2,5 m2,,Nord,1,<b>168 000 €</b>,4307 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1003,RdC,45 m2,22 m2,,Sud,1,<b>174 000 €</b>,3866 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1004,RdC,75 m2,11 m2,,Sud,2,<b>266 000 €</b>,3553 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1005,RdC,59 m2,10 m2,,Sud,1,<b>218 000 €</b>,3694 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1101,R+1,40 m2,5 m2,,Nord,1,<b>172 000 €</b>,4300 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1104,R+1,76 m2,14 m2,,Sud,2,<b>272 000 €</b>,3578 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1107,R+1,72 m2,28 m2,,Sud-Nord,2,<b>255 000 €</b>,3541 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1108,R+1,60 m2,9 m2,,Nord,1,<b>219 000 €</b>,3650 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1201,R+2,40 m2,5 m2,,Nord,1,<b>180 000 €</b>,4500 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1204,R+2,76 m2,14 m2,,Sud,2,<b>272 000 €</b>,3578 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1206,R+2,59 m2,10 m2,,Sud,1,<b>218 000 €</b>,3694 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1207,R+2,72 m2,18 m2,,Sud-Nord,2,<b>257 000 €</b>,3569 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1208,R+2,60 m2,9 m2,,Nord,1,<b>220 000 €</b>,3666 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1301,R+3,40 m2,5 m2,,Nord,1,<b>175 000 €</b>,4375 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1302,R+3,86 m2,8 m2,,Nord-Est,2,<b>294 000 €</b>,3418 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1304,R+3,75 m2,11 m2,,Sud,1,<b>255 000 €</b>,3400 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1305,R+3,59 m2,10 m2,,Sud,1,<b>218 000 €</b>,3694 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1306,R+3,72 m2,18 m2,,Sud-Nord,2,<b>257 000 €</b>,3569 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1307,R+3,60 m2,9 m2,,Nord,1,<b>220 000 €</b>,3666 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1401,R+4,101 m2,16 m2,,Nord-Est,2,<b>350 000 €</b>,3465 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1402,R+4,52 m2,32 m2,,Sud-Est,1,<b>233 000 €</b>,4480 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1403,R+4,75 m2,11 m2,,Sud,2,<b>289 000 €</b>,3853 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1405,R+4,72 m2,18 m2,,Sud-Nord,2,<b>257 000 €</b>,3569 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1406,R+4,60 m2,9 m2,,Nord,1,<b>220 000 €</b>,3666 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1502,R+5,85 m2,52 m2,,Sud-Nord,2,<b>389 000 €</b>,4576 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1503,R+5,46 m2,14 m2,,Sud,1,<b>231 000 €</b>,5021 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1504,R+5,60 m2,24 m2,,Sud,1,<b>265 000 €</b>,4416 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,1505,R+5,32 m2,13 m2,,Sud,1,<b>166 000 €</b>,5187 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1507,R+5,59 m2,47 m2,,Ouest-Nord,1,<b>255 000 €</b>,4322 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2104,R+1,75 m2,40 m2,,Nord-Ouest,2,<b>287 000 €</b>,3826 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2106,R+1,70 m2,11 m2,,Est,1,<b>249 000 €</b>,3557 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2201,R+2,70 m2,14 m2,,Est,1,<b>252 000 €</b>,3600 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2301,R+3,62 m2,7 m2,,Nord-Ouest,1,<b>221 000 €</b>,3564 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2302,R+3,70 m2,14 m2,,Est,1,<b>249 000 €</b>,3557 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,2303,R+3,43 m2,10 m2,,Est,1,<b>188 000 €</b>,4372 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,2305,R+3,36 m2,6 m2,,Nord-Ouest,1,<b>163 000 €</b>,4527 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2401,R+4,62 m2,7 m2,,Nord-Ouest,1,<b>221 000 €</b>,3564 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2402,R+4,70 m2,12 m2,,Est,1,<b>250 000 €</b>,3571 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2404,R+4,59 m2,28 m2,,Est-Ouest,1,<b>264 000 €</b>,4474 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,2405,R+4,37 m2,6 m2,,Nord-Ouest,1,<b>169 000 €</b>,4567 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2501,R+5,62 m2,7 m2,,Nord-Ouest,1,<b>221 000 €</b>,3564 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2502,R+5,70 m2,14 m2,,Est,1,<b>254 000 €</b>,3628 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,2504,R+5,59 m2,13 m2,,Est-Ouest,1,<b>265 000 €</b>,4491 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,2505,R+5,36 m2,6 m2,,Nord-Ouest,1,<b>176 000 €</b>,4888 €/m2,Disponible,<button>Plan</button>
