Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,D01,,"40,67 m2",,,Est,,<b>169 000 €</b>,4155 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D02,,"43,86 m2",,,Est,,<b>179 000 €</b>,4092 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,A06,,"44,11 m2",,,Ouest,,<b>183 000 €</b>,4160 €/m2,Optionné,<button>Plan</button>
<b>T2</b>,D06,,"45,58 m2",,,Nord-Est,,<b>189 000 €</b>,4146 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D05,,"50,55 m2",,,Sud,,<b>199 000 €</b>,3936 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D16,,"51,64 m2",,,Nord-Est,,<b>213 000 €</b>,4124 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D26,,"51,64 m2",,,Nord-Est,,<b>215 000 €</b>,4163 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A03,,"59,98 m2",,,Est,,<b>247 000 €</b>,4126 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A13,,"60,12 m2",,,Est,,<b>250 000 €</b>,4158 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D03,,"60,75 m2",,,Ouest,,<b>250 000 €</b>,4115 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A04,,"62,64 m2",,,Est,,<b>252 000 €</b>,4030 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A23,,"60,12 m2",,,Est,,<b>253 000 €</b>,4216 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D13,,"60,75 m2",,,Ouest,,<b>255 000 €</b>,4197 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A33,,"60,12 m2",,,Est,,<b>257 000 €</b>,4274 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A24,,"62,64 m2",,,Est,,<b>257 000 €</b>,4110 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D23,,"60,75 m2",,,Ouest,,<b>260 000 €</b>,4279 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A02,,"65,39 m2",,,Ouest,,<b>265 000 €</b>,4052 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D15,,"67,33 m2",,,Sud,,<b>267 000 €</b>,3965 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A12,,"65,39 m2",,,Ouest,,<b>267 000 €</b>,4090 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D25,,"67,21 m2",,,Sud,,<b>268 000 €</b>,3987 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A22,,"65,39 m2",,,Ouest,,<b>269 000 €</b>,4113 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D04,,"65,51 m2",,,Sud-Ouest,,<b>269 000 €</b>,4106 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D14,,"65,5 m2",,,Sud-Ouest,,<b>272 000 €</b>,4152 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A05,,"71,73 m2",,,Est,,<b>279 000 €</b>,3889 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A15,,"71,73 m2",,,Est,,<b>289 000 €</b>,4028 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,A25,,"71,73 m2",,,Est,,<b>292 000 €</b>,4077 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,A34,,"92,5 m2",,,Est,,<b>330 000 €</b>,3567 €/m2,Optionné,<button>Plan</button>
<b>T4</b>,A32,,"89,39 m2",,,Ouest,,<b>335 000 €</b>,3747 €/m2,Optionné,<button>Plan</button>
