Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T1</b>,85,RdC,"22,67 m2",,,,203,<b>113 000 €</b>,4984 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,147,RdC,"46,12 m2",,,,172,<b>180 000 €</b>,3902 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,15,R+1,"22,67 m2",,,,12,<b>111 000 €</b>,4896 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,18,R+1,"22,67 m2",,,,175,<b>114 000 €</b>,5028 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,68,R+1,"22,67 m2",,,,21,<b>114 000 €</b>,5028 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,72,RdC,"22,67 m2",,,,25,<b>112 000 €</b>,4940 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,88,RdC,"22,67 m2",,,,41,<b>112 000 €</b>,4940 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,92,RdC,"22,67 m2",,,,45,<b>113 000 €</b>,4984 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,109,R+1,"22,67 m2",,,,87,<b>108 000 €</b>,4764 €/m2,Optionné,<button>Plan</button>
<b>T1</b>,112,R+1,"22,67 m2",,,,46,<b>108 000 €</b>,4764 €/m2,Optionné,<button>Plan</button>
<b>T3</b>,9,RdC,"38,17 m2",,,,166,<b>156 000 €</b>,4100 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,13,R+1,"46,23 m2",,,,171,<b>218 000 €</b>,4715 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,16,R+1,"38,17 m2",,,,15,<b>187 000 €</b>,4912 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,20,R+1,"38,17 m2",,,,177,<b>187 000 €</b>,4912 €/m2,Vendu,<button>Plan</button>
<b>T1</b>,22,R+1,"22,67 m2",,,,179,<b>111 000 €</b>,4896 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,24,R+1,"46,23 m2",,,,181,<b>218 000 €</b>,4715 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,27,RdC,"31,38 m2",,,,184,<b>164 000 €</b>,5226 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,28,RdC,"31,38 m2",,,,185,<b>164 000 €</b>,5226 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,31,RdC,"31,38 m2",,,,188,<b>164 000 €</b>,5226 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,33,RdC,"31,38 m2",,,,190,<b>164 000 €</b>,5226 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,34,RdC,"31,38 m2",,,,191,<b>164 000 €</b>,5226 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,35,RdC,"46,23 m2",,,,192,<b>232 000 €</b>,5018 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,39,R+1,"31,38 m2",,,,196,<b>168 000 €</b>,5353 €/m2,Vendu,<button>Plan</button>
<b>T2</b>,45,R+1,"31,38 m2",,,,202,<b>168 000 €</b>,5353 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,47,R+1,"46,23 m2",,,,204,<b>238 000 €</b>,5148 €/m2,Vendu,<button>Plan</button>
<b>T3</b>,48,R+1,"46,23 m2",,,,1,<b>242 000 €</b>,5234 €/m2,Vendu,<button>Plan</button>
