Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,1101,RdC,43 m2,35 m2,,Nord-Ouest,1,<b>260 000 €</b>,6046 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1106,RdC,58 m2,38 m2,,Est-Sud,1,<b>339 000 €</b>,5844 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1108,RdC,46 m2,12 m2,,Sud-Ouest,1,<b>257 000 €</b>,5586 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1111,R+1,43 m2,15 m2,,Nord-Ouest,1,<b>257 000 €</b>,5976 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1112,R+1,54 m2,17 m2,,Nord-Ouest,1,<b>281 000 €</b>,5203 €/m2,Disponible,<button>Plan</button>
<b>T1</b>,1115,R+1,22 m2,6 m2,,Nord-Est,1,<b>154 000 €</b>,7000 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1116,R+1,58 m2,18 m2,,Est-Sud,1,<b>283 000 €</b>,4879 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1117,R+1,76 m2,17 m2,,Sud-Ouest,1,<b>369 000 €</b>,4855 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1118,R+1,59 m2,19 m2,,Sud-Ouest,1,<b>299 000 €</b>,5067 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1121,R+2,43 m2,15 m2,,Ouest-Nord,1,<b>259 000 €</b>,6023 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1122,R+2,54 m2,17 m2,,Ouest-Nord,1,<b>283 000 €</b>,5240 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1126,R+2,58 m2,18 m2,,Est-Sud,1,<b>295 000 €</b>,5086 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,1127,R+2,76 m2,17 m2,,Sud-Ouest,1,<b>379 000 €</b>,4986 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1128,R+2,59 m2,19 m2,,Sud-Ouest,1,<b>319 000 €</b>,5406 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,1131,R+3,43 m2,15 m2,,Ouest-Nord,1,<b>269 000 €</b>,6255 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,1132,R+3,54 m2,17 m2,,Ouest-Nord,1,<b>293 000 €</b>,5425 €/m2,Disponible,<button>Plan</button>
