Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,1209,R+2,"51,44 m2","11,05 m2",,Est,Oui,<b>258 000 €</b>,5015 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,1309,R+3,"51,47 m2","11,08 m2",,Est,Oui,<b>265 000 €</b>,5148 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,1101,R+1,"55,07 m2","11,31 m2",,Est,Oui,<b>267 000 €</b>,4848 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,1301,R+3,"55,06 m2","11,4 m2",,Est,Oui,<b>281 000 €</b>,5103 m2/€,Disponible,<button>Plan</button>
<b>T1</b>,1002,RdC,"28,02 m2","8,9 m2",,Est,Oui,<b>168 000 €</b>,5995 m2/€,Disponible,<button>Plan</button>
<b>T1</b>,1202,R+2,"28,04 m2","10,32 m2",,Est,Oui,<b>171 000 €</b>,6098 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,3304,R+3,"39,31 m2","11,4 m2",,Nord,Oui,<b>246 000 €</b>,6257 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,1005,RdC,"38,87 m2","16,89 m2",,Ouest,Oui,<b>247 000 €</b>,6354 m2/€,Optionné,<button>Plan</button>
<b>T2</b>,3001,RdC,"40,3 m2","16,71 m2",,Sud,Oui,<b>252 000 €</b>,6253 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,3202,R+2,"45,19 m2","10,1 m2",,Nord,Oui,<b>254 000 €</b>,5620 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,1207,R+3,"38,79 m2","11,51 m2",,Ouest,Oui,<b>258 000 €</b>,6651 m2/€,Disponible,<button>Plan</button>
<b>T2</b>,3006,RdC,"45,31 m2","17,01 m2",,Sud,Oui,<b>262 000 €</b>,5782 m2/€,Optionné,<button>Plan</button>
<b>T2</b>,1305,R+3,"38,87 m2","10,58 m2",,Ouest,Oui,<b>267 000 €</b>,6869 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3003,RdC,"56,46 m2","23,27 m2",,Nord,Oui,<b>258 000 €</b>,4569 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3103,R+1,"56,47 m2","12,77 m2",,Nord,Oui,<b>270 000 €</b>,4781 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3105,R+1,"59,04 m2","15,13 m2",,Est,Oui,<b>280 000 €</b>,4742 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3005,RdC,"59,04 m2","16,73 m2",,Est,Oui,<b>296 000 €</b>,5013 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3303,R+3,"56,47 m2","12,77 m2",,Nord,Oui,<b>300 000 €</b>,5312 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3305,R+3,"59,04 m2","15,13 m2",,Est,Oui,<b>301 000 €</b>,5098 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3101,R+1,"63,86 m2","17,3 m2",,Sud,Oui,<b>313 000 €</b>,4901 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1208,R+2,"60,95 m2","11,85 m2",,Ouest,Oui,<b>314 000 €</b>,5151 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1003,RdC,"62,99 m2","11,85 m2",,Est,Oui,<b>316 000 €</b>,5016 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1203,R+2,"62,99 m2","13,16 m2",,Est,Oui,<b>316 000 €</b>,5016 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1308,R+3,"60,95 m2","11,86 m2",,Ouest,Oui,<b>324 000 €</b>,5315 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1303,R+3,"62,99 m2","13,18 m2",,Est,Oui,<b>326 000 €</b>,5175 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,3201,R+2,"63,86 m2","17,33 m2",,Sud,Oui,<b>327 000 €</b>,5120 m2/€,Disponible,<button>Plan</button>
<b>T3</b>,1304,R+3,"59,57 m2","10,36 m2",,Ouest,Oui,<b>328 000 €</b>,5506 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,3106,R+1,"76,09 m2","14,65 m2",,Sud,Oui,<b>374 000 €</b>,4915 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,3306,R+3,"76,12 m2","14,8 m2",,Sud,Oui,<b>404 000 €</b>,5307 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,1403,R+4,"78,48 m2","114,9 m2",,Ouest,Oui,<b>504 000 €</b>,6422 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,3402,R+4,"80,42 m2","116,35 m2",,Sud,Oui,<b>510 000 €</b>,6341 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,3401,R+4,"80,86 m2","179,49 m2",,Ouest,Oui,<b>535 000 €</b>,6616 m2/€,Disponible,<button>Plan</button>
<b>T4</b>,1401,R+4,"86,46 m2","165,92 m2",,Sud,Oui,<b>559 000 €</b>,6465 m2/€,Disponible,<button>Plan</button>
