Type,Lot,Etage,Surface,Terrasse,Jardin,Exposition,Parking,Prix,Prix m2,Statut,Plan
<b>T2</b>,D205,,"39,2 m2",,,Est,,<b>210 000 €</b>,5357 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D304,,"38,4 m2",,,Est,,<b>215 000 €</b>,5598 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D203,,"41,15 m2",,,Est,,<b>221 000 €</b>,5370 €/m2,Disponible,<button>Plan</button>
<b>T2</b>,D305,,"39,2 m2",,,Est,,<b>239 000 €</b>,6096 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E101,,"55,07 m2",,,Est,,<b>288 000 €</b>,5229 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E201,,"55,07 m2",,,Est,,<b>298 000 €</b>,5411 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E106,,"57,8 m2",,,Ouest,,<b>300 000 €</b>,5190 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E206,,"57,8 m2",,,Ouest,,<b>310 000 €</b>,5363 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E301,,"55,07 m2",,,Est,,<b>310 000 €</b>,5629 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E009,,"62,31 m2",,,Est,,<b>311 000 €</b>,4991 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E107,,"60,95 m2",,,Ouest,,<b>317 000 €</b>,5200 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E108,,"60,95 m2",,,Ouest,,<b>319 000 €</b>,5233 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E109,,"62,31 m2",,,Est,,<b>322 000 €</b>,5167 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D106,,62 m2,,,Sud,,<b>323 000 €</b>,5209 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E007,,"60,95 m2",,,Ouest,,<b>323 000 €</b>,5299 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E306,,"57,8 m2",,,Ouest,,<b>323 000 €</b>,5588 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E008,,"60,95 m2",,,Ouest,,<b>326 000 €</b>,5348 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E207,,"60,95 m2",,,Ouest,,<b>330 000 €</b>,5414 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D005,,62 m2,,,Sud,,<b>330 000 €</b>,5322 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E102,,"63,72 m2",,,Sud,,<b>331 000 €</b>,5194 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E208,,"60,95 m2",,,Ouest,,<b>332 000 €</b>,5447 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E209,,"62,31 m2",,,Est,,<b>336 000 €</b>,5392 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E307,,"60,95 m2",,,Ouest,,<b>343 000 €</b>,5627 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E202,,"63,72 m2",,,Sud,,<b>345 000 €</b>,5414 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E309,,"62,31 m2",,,Est,,<b>350 000 €</b>,5617 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,D206,,62 m2,,,Sud,,<b>354 000 €</b>,5709 €/m2,Disponible,<button>Plan</button>
<b>T3</b>,E302,,"63,72 m2",,,Sud,,<b>358 000 €</b>,5618 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,E104,,"81,79 m2",,,Sud,,<b>434 000 €</b>,5306 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,D107,,"83,9 m2",,,Sud,,<b>446 000 €</b>,5315 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,D207,,"83,9 m2",,,Sud,,<b>455 000 €</b>,5423 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,E304,,"81,79 m2",,,Sud,,<b>460 000 €</b>,5624 €/m2,Disponible,<button>Plan</button>
<b>T4</b>,D307,,"83,9 m2",,,Sud,,<b>464 000 €</b>,5530 €/m2,Disponible,<button>Plan</button>
